id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,date,year,month,month_name,hour,day_of_week,is_weekend,time_bucket
262,PSHI-2026-02-I-133553,2,02/08/2026 12:32 AM,2026-02-07 09:36:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32,2026-02-07,2026,2,February,9,Saturday,True,Morning
263,26ER00045,5,02/08/2026 12:28 AM,2026-02-08 00:28:00,02/08/2026 01:00 AM,Assisted Residence Life staff with a University policy violation,ELLIOTT HALL,2026-02-18 21:43:32,2026-02-08,2026,2,February,0,Sunday,True,Late Night
264,26UP00664,1,02/07/2026 11:59 PM,2026-02-07 21:00:00,02/08/2026 09:15 PM,Visitor observed highly intoxicated,BRYCE JORDAN CENTER,2026-02-18 21:43:32,2026-02-07,2026,2,February,21,Saturday,True,Evening
265,26UP00665,1,02/07/2026 11:55 PM,2026-02-07 22:30:00,02/08/2026 11:00 PM,Employee reported the theft of their unattended personal property,BRYCE JORDAN CENTER,2026-02-18 21:43:32,2026-02-07,2026,2,February,22,Saturday,True,Late Night
266,26UP00663,1,02/07/2026 11:49 PM,2026-02-07 22:30:00,02/07/2026 11:44 PM,Visitor reported being harassed,BRYCE JORDAN CENTER,2026-02-18 21:43:32,2026-02-07,2026,2,February,22,Saturday,True,Late Night
267,26UP00662,1,02/07/2026 11:35 PM,2026-02-07 23:35:00,02/08/2026 12:05 AM,Visitor reported a two vehicle crash with no injuries,COMMUTER JORDAN EAST 1 LOT,2026-02-18 21:43:32,2026-02-07,2026,2,February,23,Saturday,True,Late Night
268,PSHI-2026-02-I-133550,2,02/07/2026 11:28 PM,2026-02-07 22:03:00,,Rolling domestic assault on campus.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32,2026-02-07,2026,2,February,22,Saturday,True,Late Night
269,PSHI-2026-02-I-133545,2,02/07/2026 10:01 PM,2026-02-07 18:50:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32,2026-02-07,2026,2,February,18,Saturday,True,Evening
270,26UP00658,1,02/07/2026 10:00 PM,2026-02-07 22:00:00,02/07/2026 10:35 PM,Visitor reported a concern for another person,BRYCE JORDAN CENTER,2026-02-18 21:43:32,2026-02-07,2026,2,February,22,Saturday,True,Late Night
271,26UP00655,1,02/07/2026 09:30 PM,2026-02-07 21:20:00,02/07/2026 09:35 PM,Visitor observed highly intoxicated,BRYCE JORDAN CENTER,2026-02-18 21:43:32,2026-02-07,2026,2,February,21,Saturday,True,Evening
272,26UP00656,1,02/07/2026 09:29 PM,2026-02-07 21:29:00,02/07/2026 11:15 PM,Assisted the fire department with a reported fire alarm activation,LUBERT BLDG,2026-02-18 21:43:32,2026-02-07,2026,2,February,21,Saturday,True,Evening
273,26UP00654,1,02/07/2026 09:29 PM,2026-02-07 15:00:00,02/07/2026 09:00 PM,Assisted an outside law enforcement agency with an investigation,BRYCE JORDAN CENTER,2026-02-18 21:43:32,2026-02-07,2026,2,February,15,Saturday,True,Afternoon
274,26UP00657,1,02/07/2026 09:06 PM,2026-02-07 21:06:00,02/07/2026 10:20 PM,Visitor observed highly intoxicated and transported to the hospital,BRYCE JORDAN CENTER,2026-02-18 21:43:32,2026-02-07,2026,2,February,21,Saturday,True,Evening
275,26UP00653,1,02/07/2026 08:56 PM,2026-02-07 12:00:00,02/07/2026 08:30 PM,Visitor reported a hit and run vehicle crash,HUB PARKING DECK,2026-02-18 21:43:32,2026-02-07,2026,2,February,12,Saturday,True,Afternoon
276,26UP00652,1,02/07/2026 08:47 PM,2026-02-07 20:35:00,02/07/2026 08:57 PM,Underage visitor observed highly intoxicated and transported to the hospital,BRYCE JORDAN CENTER,2026-02-18 21:43:32,2026-02-07,2026,2,February,20,Saturday,True,Evening
277,26BW00025,7,02/07/2026 08:35 PM,2026-02-07 20:35:00,02/07/2026 08:42 PM,Student reported a fire alarm activation,ORCHARD HALL,2026-02-18 21:43:32,2026-02-07,2026,2,February,20,Saturday,True,Evening
278,PSHI-2026-02-I-133543,2,02/07/2026 07:04 PM,2026-02-07 18:38:00,,Victim of violence receiving treatment.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32,2026-02-07,2026,2,February,18,Saturday,True,Evening
279,26BR00006,6,02/07/2026 06:56 PM,2026-02-07 18:55:00,02/07/2026 07:29 PM,Student reported a suspicious odor,HARMONY HALL,2026-02-18 21:43:32,2026-02-07,2026,2,February,18,Saturday,True,Evening
280,PSHI-2026-02-I-133537,2,02/07/2026 04:54 PM,2026-02-07 16:07:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32,2026-02-07,2026,2,February,16,Saturday,True,Afternoon
282,26AB00048,2,02/07/2026 02:17 PM,2026-02-07 14:17:00,02/07/2026 02:59 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-07,2026,2,February,14,Saturday,True,Afternoon
283,26UP00651,1,02/07/2026 01:28 PM,2026-02-07 13:28:00,02/07/2026 02:00 PM,Visitor requested assistance in locating a student,GEARY HALL,2026-02-18 21:43:32,2026-02-07,2026,2,February,13,Saturday,True,Afternoon
284,26UP00650,1,02/07/2026 01:25 PM,2026-02-07 13:25:00,02/07/2026 02:04 PM,Employee reported a one vehicle crash with no injuries,EAST PARKING DECK,2026-02-18 21:43:32,2026-02-07,2026,2,February,13,Saturday,True,Afternoon
285,26UP00649,1,02/07/2026 12:27 PM,2026-02-06 14:45:00,02/06/2026 03:10 PM,Student requested assistance with a personal matter,MCALLISTER BLDG,2026-02-18 21:43:32,2026-02-06,2026,2,February,14,Friday,False,Afternoon
286,PSHI-2026-02-I-133521,2,02/07/2026 09:30 AM,2026-02-07 05:41:00,,Assisted clinical staff with actively eloping patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32,2026-02-07,2026,2,February,5,Saturday,True,Morning
287,26AB00047,2,02/07/2026 05:48 AM,2026-02-07 03:00:00,02/07/2026 06:40 AM,Student reported disorderly persons,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-07,2026,2,February,3,Saturday,True,Late Night
288,26UP00648,1,02/07/2026 04:45 AM,2026-02-07 04:45:00,02/07/2026 05:25 AM,Underage student observed highly intoxicated and transported to the hospital,ROBINSON HALL,2026-02-18 21:43:32,2026-02-07,2026,2,February,4,Saturday,True,Late Night
289,26UP00647,1,02/07/2026 04:45 AM,2026-02-07 04:45:00,02/07/2026 06:03 AM,A vehicle stop investigation revealed the operator to be driving under the influence of alcohol,BIGLER RD & EISENHOWER RD,2026-02-18 21:43:32,2026-02-07,2026,2,February,4,Saturday,True,Late Night
290,26UP00646,1,02/07/2026 03:29 AM,2026-02-07 03:29:00,02/07/2026 04:01 AM,Student observed highly intoxicated,MCKEAN HALL,2026-02-18 21:43:32,2026-02-07,2026,2,February,3,Saturday,True,Late Night
291,26UP00645,1,02/07/2026 03:08 AM,2026-02-07 03:08:00,02/07/2026 03:33 AM,Student observed highly intoxicated and transported to the hospital,HIBBS HALL,2026-02-18 21:43:32,2026-02-07,2026,2,February,3,Saturday,True,Late Night
292,26UP00643,1,02/07/2026 02:43 AM,2026-02-07 02:43:00,02/07/2026 05:43 AM,Student reported being physically assaulted by an identified person,SHORTLIDGE RD & POLLOCK RD,2026-02-18 21:43:32,2026-02-07,2026,2,February,2,Saturday,True,Late Night
293,26AL00068,3,02/07/2026 02:22 AM,2026-02-07 02:22:00,02/07/2026 04:22 AM,A vehicle stop investigation revealed the operator to be driving under the influence of alcohol,CEDAR LOT - PCE - ALTOONA,2026-02-18 21:43:32,2026-02-07,2026,2,February,2,Saturday,True,Late Night
294,PSHI-2026-02-I-133519,2,02/07/2026 02:04 AM,2026-02-06 23:27:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 5 - Acute Care > HMC - Main Hospital - 5 - Acute Care,2026-02-18 21:43:32,2026-02-06,2026,2,February,23,Friday,False,Late Night
295,PSHI-2026-02-I-133518,2,02/07/2026 01:59 AM,2026-02-06 23:19:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 6 - Acute Care > HMC - Main Hospital - 6 - Acute Care,2026-02-18 21:43:32,2026-02-06,2026,2,February,23,Friday,False,Late Night
296,26UP00638,1,02/07/2026 01:26 AM,2026-02-07 01:16:00,02/07/2026 01:26 AM,Student observed highly intoxicated,MCKEAN HALL,2026-02-18 21:43:32,2026-02-07,2026,2,February,1,Saturday,True,Late Night
297,26UP00684,1,02/07/2026 01:00 AM,2026-02-09 19:48:00,02/09/2026 08:53 PM,Received this department's copy of a Protection From Abuse (PFA) order,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32,2026-02-09,2026,2,February,19,Monday,False,Evening
298,26UP00637,1,02/07/2026 12:50 AM,2026-02-07 00:50:00,02/07/2026 01:11 AM,Student observed highly intoxicated and transported to the hospital,STUART HALL,2026-02-18 21:43:32,2026-02-07,2026,2,February,0,Saturday,True,Late Night
299,26HB00060,13,02/07/2026 12:30 AM,2026-02-07 00:30:00,02/07/2026 01:40 AM,Assisted an outside law enforcement agency with an investigation,W MAIN ST & N CATHERINE ST,2026-02-18 21:43:32,2026-02-07,2026,2,February,0,Saturday,True,Late Night
300,PSHI-2026-02-I-133516,2,02/07/2026 12:12 AM,2026-02-06 22:20:00,,Assisted clinical staff with a visitor issue.,Hershey - Dispatched To: HMC - Children's Hospital - 4 - PICU > HMC - Children's Hospital - 4 - PICU,2026-02-18 21:43:32,2026-02-06,2026,2,February,22,Friday,False,Late Night
301,26UP00634,1,02/06/2026 11:42 PM,2026-02-06 23:42:00,02/06/2026 11:55 PM,"Resident Assistant reported the odor of marijuana, origin not located",PACKER HALL,2026-02-18 21:43:32,2026-02-06,2026,2,February,23,Friday,False,Late Night
302,26UP00632,1,02/06/2026 11:36 PM,2026-02-06 23:36:00,02/07/2026 12:16 AM,Identified occupants in possession of marijuana and drug paraphernalia,RUNKLE HALL,2026-02-18 21:43:32,2026-02-06,2026,2,February,23,Friday,False,Late Night
303,26UP00631,1,02/06/2026 11:17 PM,2026-02-06 23:17:00,02/07/2026 11:32 PM,"Resident Assistant reported the odor of marijuana, origin not located",MIFFLIN HALL,2026-02-18 21:43:32,2026-02-06,2026,2,February,23,Friday,False,Late Night
304,26UP00630,1,02/06/2026 11:08 PM,2026-02-06 22:16:00,02/06/2026 11:08 PM,Student reported damage to University property,GEARY HALL,2026-02-18 21:43:32,2026-02-06,2026,2,February,22,Friday,False,Late Night
305,26HB00059,13,02/06/2026 10:01 PM,2026-02-06 21:00:00,02/06/2026 09:30 PM,"Student reported the odor of marijuana, origin not located",MAHANOY HOUSE,2026-02-18 21:43:32,2026-02-06,2026,2,February,21,Friday,False,Evening
306,PSHI-2026-02-I-133509,2,02/06/2026 09:54 PM,2026-02-06 21:47:00,,Assisted clinical staff with an escort.,Hershey - Dispatched To: HMC - Emergency Department - 1 - ED Obs Unit > HMC - Emergency Department - 1 - ED Obs Unit,2026-02-18 21:43:32,2026-02-06,2026,2,February,21,Friday,False,Evening
307,26UP00625,1,02/06/2026 09:53 PM,2026-02-06 21:53:00,02/06/2026 10:39 PM,Student observed highly intoxicated and transported to the hospital,MCKEE HALL,2026-02-18 21:43:32,2026-02-06,2026,2,February,21,Friday,False,Evening
308,26UP00623,1,02/06/2026 08:29 PM,2026-02-06 20:29:00,02/06/2026 10:14 PM,Visitor reported a concern for another person,E COLLEGE AVE,2026-02-18 21:43:32,2026-02-06,2026,2,February,20,Friday,False,Evening
309,26UP00619,1,02/06/2026 06:52 PM,2026-02-05 00:00:00,02/06/2026 06:52 PM,Assisted an outside law enforcement agency with an investigation,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32,2026-02-05,2026,2,February,0,Thursday,False,Late Night
310,PSHI-2026-02-I-133506,2,02/06/2026 05:34 PM,2026-02-06 16:52:00,,Vendor damaged property.,Hershey - Dispatched To: HMC and COM - Central Plant > HMC and COM - Central Plant,2026-02-18 21:43:32,2026-02-06,2026,2,February,16,Friday,False,Afternoon
311,26UP00615,1,02/06/2026 05:07 PM,2026-02-06 17:07:00,02/06/2026 05:40 PM,Employee reported a concern for another student,STUDENT HEALTH CENTER,2026-02-18 21:43:32,2026-02-06,2026,2,February,17,Friday,False,Evening
312,26AL00065,3,02/06/2026 04:42 PM,2026-02-06 16:19:00,02/06/2026 04:54 PM,Assisted an outside law enforcement agency with an investigation,E PLEASANT VALLEY BLVD & GRANT ST,2026-02-18 21:43:32,2026-02-06,2026,2,February,16,Friday,False,Afternoon
313,26UP00616,1,02/06/2026 04:42 PM,2026-02-06 08:00:00,02/06/2026 04:00 PM,Employee reported being harassed,N BURROWES RD,2026-02-18 21:43:32,2026-02-06,2026,2,February,8,Friday,False,Morning
314,PSHI-2026-02-I-133504,2,02/06/2026 04:21 PM,2026-02-06 15:44:00,,Assisted clinical staff with a visitor issue.,Hershey - Dispatched To: HMC - Main Hospital - 3 - HVI\HVOC > HMC - Main Hospital - 3 - HVI\HVOC,2026-02-18 21:43:32,2026-02-06,2026,2,February,15,Friday,False,Afternoon
315,26BK00029,4,02/06/2026 03:29 PM,2026-02-05 18:00:00,02/05/2026 07:00 PM,Student reported lost property,PERKINS STUDENT CENTER,2026-02-18 21:43:32,2026-02-05,2026,2,February,18,Thursday,False,Evening
316,26SL00014,19,02/06/2026 03:11 PM,2026-02-06 15:11:00,02/06/2026 03:33 PM,Assisted an outside law enforcement agency with an investigation,E MAIN ST,2026-02-18 21:43:32,2026-02-06,2026,2,February,15,Friday,False,Afternoon
317,26UP00612,1,02/06/2026 03:05 PM,2026-02-06 15:05:00,02/06/2026 03:40 PM,Student reported suspicious activity,STUART HALL,2026-02-18 21:43:32,2026-02-06,2026,2,February,15,Friday,False,Afternoon
318,26ER00044,5,02/06/2026 03:03 PM,2026-02-05 00:00:00,02/05/2026 11:59 PM,Student reported being harassed,REED BUILDING,2026-02-18 21:43:32,2026-02-05,2026,2,February,0,Thursday,False,Late Night
319,PSHI-2026-02-I-133496,2,02/06/2026 02:26 PM,2026-02-06 13:37:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32,2026-02-06,2026,2,February,13,Friday,False,Afternoon
320,26HB00058,13,02/06/2026 01:53 PM,2026-02-06 13:53:00,02/06/2026 02:16 PM,"Student reported the odor of marijuana, origin not located",MAHANOY HOUSE,2026-02-18 21:43:32,2026-02-06,2026,2,February,13,Friday,False,Afternoon
321,26AL00064,3,02/06/2026 01:34 PM,2026-02-06 13:34:00,02/06/2026 02:03 PM,Student requested assistance with a personal matter,GRANDVIEW RD,2026-02-18 21:43:32,2026-02-06,2026,2,February,13,Friday,False,Afternoon
322,26UP00611,1,02/06/2026 01:12 PM,2026-02-06 13:12:00,02/06/2026 01:52 PM,Student reported a two vehicle crash with no injuries,POWER PLANT,2026-02-18 21:43:32,2026-02-06,2026,2,February,13,Friday,False,Afternoon
323,26UP00610,1,02/06/2026 01:03 PM,2026-02-06 13:03:00,02/06/2026 01:41 PM,Assisted the fire department with a reported fire alarm activation,RESEARCH DR,2026-02-18 21:43:32,2026-02-06,2026,2,February,13,Friday,False,Afternoon
324,PSHI-2026-02-I-133491,2,02/06/2026 12:27 PM,2026-02-05 19:27:00,,Vendor and visitor issue resolved.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-18 21:43:32,2026-02-05,2026,2,February,19,Thursday,False,Evening
325,26HB00057,13,02/06/2026 11:00 AM,2026-02-06 11:00:00,02/06/2026 12:51 PM,Assisted a employee with a personal matter,STUDENT ENRICHMENT CENTER,2026-02-18 21:43:32,2026-02-06,2026,2,February,11,Friday,False,Morning
326,26BK00028,4,02/06/2026 10:19 AM,2026-02-06 10:19:00,,Employee reported a parking concern,FACULTY STAFF VISITOR LOT B1 - BERKS,2026-02-18 21:43:32,2026-02-06,2026,2,February,10,Friday,False,Morning
327,26BK00027,4,02/06/2026 09:36 AM,2026-02-06 09:36:00,,Employee reported a parking concern,FACULTY STAFF VISITOR LOT B2 - BERKS,2026-02-18 21:43:32,2026-02-06,2026,2,February,9,Friday,False,Morning
328,PSHI-2026-02-I-133486,2,02/06/2026 09:23 AM,2026-02-06 09:12:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32,2026-02-06,2026,2,February,9,Friday,False,Morning
329,26AB00046,2,02/06/2026 09:12 AM,2026-02-06 09:00:00,02/06/2026 09:30 AM,"Employee reported the odor of marijuana, origin not located",LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-06,2026,2,February,9,Friday,False,Morning
330,26AL00063,3,02/06/2026 09:01 AM,2026-02-06 09:10:00,02/06/2026 09:14 AM,Assisted an outside law enforcement agency with an investigation,BROADWAY & E PENN AVE,2026-02-18 21:43:32,2026-02-06,2026,2,February,9,Friday,False,Morning
331,26UP00609,1,02/06/2026 07:44 AM,2026-02-06 06:15:00,,Employee reported a suspicious odor,ORANGE A KATZ LOT,2026-02-18 21:43:32,2026-02-06,2026,2,February,6,Friday,False,Morning
332,26UP00608,1,02/06/2026 07:38 AM,2026-02-06 07:38:00,02/06/2026 08:30 AM,Visitor reported a two vehicle crash with no injuries,HOSPITAL DR,2026-02-18 21:43:32,2026-02-06,2026,2,February,7,Friday,False,Morning
333,PSHI-2026-02-I-133481,2,02/06/2026 05:24 AM,2026-02-06 05:13:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32,2026-02-06,2026,2,February,5,Friday,False,Morning
334,PSHI-2026-02-I-133479,2,02/06/2026 04:36 AM,2026-02-06 03:50:00,,Visitor medical emergency.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32,2026-02-06,2026,2,February,3,Friday,False,Late Night
335,26UP00607,1,02/06/2026 03:51 AM,2026-02-06 03:51:00,02/06/2026 05:22 AM,Assisted an outside law enforcement agency with an investigation,HETZEL ST,2026-02-18 21:43:32,2026-02-06,2026,2,February,3,Friday,False,Late Night
336,26UP00606,1,02/06/2026 02:43 AM,2026-02-06 02:43:00,02/06/2026 03:09 AM,Underage student observed highly intoxicated and transported to the hospital,TENER HALL,2026-02-18 21:43:32,2026-02-06,2026,2,February,2,Friday,False,Late Night
337,PSHI-2026-02-I-133477,2,02/06/2026 02:09 AM,2026-02-06 00:30:00,,Assisted Law Enforcement with an intrusion alarm that was set off by cleaning crew.,Hershey - Dispatched To: HMC - 15 Hope Drive - HOSC > HMC - 15 Hope Drive - HOSC,2026-02-18 21:43:32,2026-02-06,2026,2,February,0,Friday,False,Late Night
338,PSHI-2026-02-I-133475,2,02/06/2026 12:38 AM,2026-02-06 21:54:00,,Walk of life.,Hershey - Dispatched To: HMC - Children's Hospital - 4 > HMC - Children's Hospital - 4,2026-02-18 21:43:32,2026-02-06,2026,2,February,21,Friday,False,Evening
339,26UP00602,1,02/06/2026 12:11 AM,2026-02-06 00:11:00,02/06/2026 12:30 AM,Student observed highly intoxicated and transported to the hospital,MCELWAIN HALL,2026-02-18 21:43:32,2026-02-06,2026,2,February,0,Friday,False,Late Night
340,PSHI-2026-02-I-133467,2,02/05/2026 10:38 PM,2026-02-05 21:12:00,,Visitor mismatch to the sex offender registry.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-18 21:43:32,2026-02-05,2026,2,February,21,Thursday,False,Evening
341,PSHI-2026-02-I-133465,2,02/05/2026 08:51 PM,2026-02-05 18:25:00,,Safekeeping of Patient Medications.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-18 21:43:32,2026-02-05,2026,2,February,18,Thursday,False,Evening
342,26HB00055,13,02/05/2026 08:40 PM,2026-02-05 20:40:00,02/05/2026 10:45 PM,Employee reported abandoned property,OLMSTED BUILDING,2026-02-18 21:43:32,2026-02-05,2026,2,February,20,Thursday,False,Evening
343,26HN00007,15,02/05/2026 07:23 PM,2026-02-04 12:00:00,02/04/2026 06:15 PM,Student reported being harassed,BUTLER BLDG,2026-02-18 21:43:32,2026-02-04,2026,2,February,12,Wednesday,False,Afternoon
344,26UP00592,1,02/05/2026 06:21 PM,2026-02-05 18:21:00,02/05/2026 07:06 PM,Student reported suspicious odor,HOLMES HALL,2026-02-18 21:43:32,2026-02-05,2026,2,February,18,Thursday,False,Evening
345,26UP00591,1,02/05/2026 06:14 PM,2026-01-10 00:00:00,02/05/2026 07:38 PM,Student reported the theft of their unsecured / unattended personal property,CHACE HALL,2026-02-18 21:43:32,2026-01-10,2026,1,January,0,Saturday,True,Late Night
346,26HN00008,15,02/05/2026 06:09 PM,2026-02-05 18:09:00,02/05/2026 06:15 PM,Employee reported a suspicious odor,KOSTOS BUILDING,2026-02-18 21:43:32,2026-02-05,2026,2,February,18,Thursday,False,Evening
347,26UP00590,1,02/05/2026 05:54 PM,2026-01-30 00:00:00,01/31/2026 12:00 AM,Assisted an outside agency with a reported Clery crime at an off campus location,ON CAMPUS PROPERTY,2026-02-18 21:43:32,2026-01-30,2026,1,January,0,Friday,False,Late Night
348,26AB00045,2,02/05/2026 04:55 PM,2026-02-05 16:55:00,02/05/2026 05:25 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-05,2026,2,February,16,Thursday,False,Afternoon
349,PSHI-2026-02-I-133459,2,02/05/2026 04:28 PM,2026-02-05 15:45:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 2 > HMC - Main Hospital - 2,2026-02-18 21:43:32,2026-02-05,2026,2,February,15,Thursday,False,Afternoon
350,PSHI-2026-02-I-133458,2,02/05/2026 04:15 PM,2026-02-05 12:58:00,,Assisted clinical staff with agitated visitor.,"Hershey - Dispatched To: HMC Off-Site - PSMG - Camp Hill, Specialties - PSMG > HMC Off-Site - PSMG - Camp Hill, Specialties - PSMG",2026-02-18 21:43:32,2026-02-05,2026,2,February,12,Thursday,False,Afternoon
351,PSHI-2026-02-I-133457,2,02/05/2026 04:15 PM,2026-02-05 16:04:00,,Assisted patient with property related matter.,Hershey - Dispatched To: HMC - Main Hospital - 1 - Cashier's Office > HMC - Main Hospital - 1 - Cashier's Office,2026-02-18 21:43:32,2026-02-05,2026,2,February,16,Thursday,False,Afternoon
352,26LV00003,16,02/05/2026 04:15 PM,2026-02-05 09:00:00,02/05/2026 11:00 AM,Student reported a hit and run vehicle crash,STUDENT PARKING LOT - LEHIGH VALLEY,2026-02-18 21:43:32,2026-02-05,2026,2,February,9,Thursday,False,Morning
353,26DS00002,9,02/05/2026 04:09 PM,2026-02-05 16:09:00,02/05/2026 06:00 PM,Student reported a concerning odor,COLLEGE PL & E DUBOIS AVE,2026-02-18 21:43:32,2026-02-05,2026,2,February,16,Thursday,False,Afternoon
354,PSHI-2026-02-I-133455,2,02/05/2026 03:57 PM,2026-02-05 13:52:00,,Asset and equipment accountability audit.,Hershey - Reported Location: HMC - Children's Hospital - 7 - Women's Health Post/Antepartum,2026-02-18 21:43:32,2026-02-05,2026,2,February,13,Thursday,False,Afternoon
355,26BW00023,7,02/05/2026 03:33 PM,2026-02-04 09:45:00,02/05/2026 03:55 PM,Employee reported a concern for another student,VAIRO LIBRARY,2026-02-18 21:43:32,2026-02-04,2026,2,February,9,Wednesday,False,Morning
356,26UP00588,1,02/05/2026 02:34 PM,2026-02-05 13:31:00,02/05/2026 03:30 PM,Student reported a bicycle crash with injuries,WILLARD BLDG,2026-02-18 21:43:32,2026-02-05,2026,2,February,13,Thursday,False,Afternoon
357,26UP00586,1,02/05/2026 02:19 PM,2026-02-04 16:19:00,02/04/2026 05:00 PM,Employee reported suspicious activity,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32,2026-02-04,2026,2,February,16,Wednesday,False,Afternoon
358,PSHI-2026-02-I-133450,2,02/05/2026 02:17 PM,2026-02-05 13:46:00,,Assisted clinical staff with an agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32,2026-02-05,2026,2,February,13,Thursday,False,Afternoon
359,PSHI-2026-02-I-133448,2,02/05/2026 01:23 PM,2026-02-05 11:01:00,,Property related matter.,Hershey - Dispatched To: HMC - Centerview Parking Garage > HMC - Centerview Parking Garage,2026-02-18 21:43:32,2026-02-05,2026,2,February,11,Thursday,False,Morning
360,26AL00062,3,02/05/2026 01:13 PM,2026-02-05 10:02:00,02/05/2026 10:04 AM,Employee reported a hit and run vehicle crash,ROSSMAN PARK,2026-02-18 21:43:32,2026-02-05,2026,2,February,10,Thursday,False,Morning
361,26UP00585,1,02/05/2026 12:11 PM,2026-01-31 13:10:00,01/31/2026 03:07 PM,Visitor reported the theft of their unattended personal property,COMMUTER JORDAN EAST 2 LOT,2026-02-18 21:43:32,2026-01-31,2026,1,January,13,Saturday,True,Afternoon
362,26UP00583,1,02/05/2026 11:48 AM,2026-02-04 14:15:00,,Student reported a two vehicle crash with no injuries,EAST PARKING DECK,2026-02-18 21:43:32,2026-02-04,2026,2,February,14,Wednesday,False,Afternoon
363,26UP00582,1,02/05/2026 11:24 AM,2026-02-05 01:45:00,02/05/2026 10:30 AM,Employee reported damage to University property,HASTINGS HALL,2026-02-18 21:43:32,2026-02-05,2026,2,February,1,Thursday,False,Late Night
364,26AL00061,3,02/05/2026 11:17 AM,2026-02-05 11:17:00,02/05/2026 11:22 AM,Employee reported a parking concern,RIDER LOT - ALTOONA,2026-02-18 21:43:32,2026-02-05,2026,2,February,11,Thursday,False,Morning
365,26AL00060,3,02/05/2026 10:56 AM,2026-02-05 10:55:00,02/05/2026 11:15 AM,Employee reported a two vehicle crash with no injuries,RIDER LOT - ALTOONA,2026-02-18 21:43:32,2026-02-05,2026,2,February,10,Thursday,False,Morning
366,26AL00059,3,02/05/2026 10:39 AM,2026-02-05 10:39:00,02/05/2026 10:50 AM,Visitor requested assistance with an administrative matter,POPLAR BLDG,2026-02-18 21:43:32,2026-02-05,2026,2,February,10,Thursday,False,Morning
367,26ER00043,5,02/05/2026 08:20 AM,2026-02-05 08:19:00,02/05/2026 08:30 AM,Employee reported a fire alarm activation,SENAT HALL,2026-02-18 21:43:32,2026-02-05,2026,2,February,8,Thursday,False,Morning
368,26UP00581,1,02/05/2026 08:12 AM,2026-02-05 08:12:00,02/05/2026 03:50 PM,Student requested assistance with a personal matter,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32,2026-02-05,2026,2,February,8,Thursday,False,Morning
369,26BK00026,4,02/05/2026 07:50 AM,2026-02-05 07:50:00,,Employee reported a burglary alarm activation,PERKINS STUDENT CENTER,2026-02-18 21:43:32,2026-02-05,2026,2,February,7,Thursday,False,Morning
371,26UP00580,1,02/05/2026 05:36 AM,2026-02-05 05:36:00,02/05/2026 06:05 AM,Student stopped and found in possession of drug paraphernalia,E PARK AVE & HOSPITAL DR,2026-02-18 21:43:32,2026-02-05,2026,2,February,5,Thursday,False,Morning
372,26UP00579,1,02/05/2026 02:06 AM,2026-02-05 01:30:00,02/05/2026 02:45 AM,Underage student observed highly intoxicated,HIESTER HALL,2026-02-18 21:43:32,2026-02-05,2026,2,February,1,Thursday,False,Late Night
